language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.08"
JSX,Frontend/src/components/ResponsiveNavbar/ResponsiveNavbar.jsx,32,0,224
JSX,Frontend/src/features/activeIssues/components/drawer/ActiveIssueDrawer.jsx,29,6,223
JavaScript,Backend/modules/issues/finished/finishedPayload/loadFinishedPayloadData.js,16,0,222
JavaScript,Backend/modules/decisionEngine/evaluations/structures/alternativePairwiseByCriterion/alternativePairwiseByCriterion.payload.js,39,0,220
Python,ApiModels/services/model_executors/aras.py,69,0,219
Python,ApiModels/services/model_executors/edas.py,69,0,219
Python,ApiModels/services/model_executors/marcos.py,69,0,219
Python,ApiModels/services/model_executors/topsis.py,69,0,219
Python,ApiModels/services/model_executors/borda.py,66,0,217
JSX,Frontend/src/features/admin/models/components/ModelManifestSyncTab.jsx,13,0,216
JavaScript,Backend/modules/admin/issueReads/getIssueExpertWeightsPayload.js,22,0,215
JSX,Frontend/src/features/admin/models/components/ModelDetailDialog.jsx,13,0,215
JavaScript,Backend/modules/issues/lifecycle/hideFinishedIssue.js,38,0,214
JSX,Frontend/src/features/auth/components/LogInForm.jsx,26,0,214
JavaScript,Backend/seeds/seedIssueModels.js,5,0,212
JSX,Frontend/src/features/finishedIssueDialog/models/components/ModelsSectionAddDialog.jsx,16,5,212
JSX,Frontend/src/features/createIssue/expressionDomains/components/ViewExpressionsDomainDialog.jsx,17,0,211
JSX,Frontend/src/features/settings/components/AccountSettings.jsx,13,7,211
JavaScript,Backend/modules/expressionDomains/normalizeExpressionDomainPayload.js,29,0,207
JSX,Frontend/src/features/finishedIssues/components/FinishedIssuesHeader.jsx,11,15,207
JavaScript,Backend/modules/decisionEngine/evaluations/evaluationStructureContext.js,33,0,205
JavaScript,Frontend/src/services/admin.service.js,29,147,203
JSX,Frontend/src/features/createIssue/components/CreateIssueView.jsx,16,12,200
JavaScript,Backend/modules/admin/users/getAdminUsersList.js,25,0,197
JavaScript,Frontend/src/services/issue.service.js,40,158,195
JSX,Frontend/src/features/modelParameters/components/IssueModelParametersView.jsx,27,0,194
JSX,Frontend/src/features/createIssue/alternatives/AlternativesStep.jsx,16,0,193
JSX,Frontend/src/features/activeIssues/components/drawer/ActiveIssueCriteriaTree.jsx,17,17,192
JSX,Frontend/src/features/createIssue/experts/ExpertsStep.jsx,20,0,190
